,worst_term_2012,worst_term_2013,worst_term_2014,female,male,term_2012,term_2013,term_2014,attention,bestgrade3,bestgrade4,bestgrade5,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,age,elm_01,elm_02,elm_03,elm_04,elm_05,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,worstgrade3,worstgrade4,worstgrade5,year
0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.2222222222222222,0.5,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.14634146341463414,0.75,0.75,0.75,0.625,0.625,0.6666666666666666,0.3333333333333333,0.018867924528301886,0.02631578947368421,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.0,0.0,0.0,0.5,0.5,0.25,0.5,0.75,,,,0.2
3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,1.0,0.12195121951219512,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.039473684210526314,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.0,0.25,1.0,0.0,0.5,0.25,1.0,1.0,0.0,0.0,0.2,0.0,0.75,0.25,0.25,1.0,0.6666666666666666,1.0,1.0,0.0
4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,0.16666666666666666,0.12195121951219512,1.0,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.0,0.039473684210526314,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.0
5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.12195121951219512,0.5,0.625,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,0.013157894736842105,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.2,0.16666666666666666,1.0,0.25,0.25,0.75,1.0,0.0,0.3333333333333333,0.0
6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.1111111111111111,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.12195121951219512,0.5,0.25,0.625,0.25,0.375,0.6666666666666666,0.6666666666666666,0.018867924528301886,0.02631578947368421,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.25,0.25,0.5,0.75,0.25,1.0,1.0,0.0,0.0,0.2,0.6666666666666666,0.5,0.75,0.75,0.25,,,,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.2682926829268293,0.75,0.875,0.5,0.375,0.375,0.3333333333333333,0.6666666666666666,0.018867924528301886,0.039473684210526314,0.25,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,1.0,0.16666666666666666,1.0,0.75,0.5,0.75,0.25,0.5,0.25,0.25,0.75,0.0,0.0,0.4,0.6666666666666666,0.75,0.5,0.75,0.5,,,,0.2
8,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.5,0.6666666666666666,0.12195121951219512,0.625,0.75,0.5,0.625,0.75,0.6666666666666666,0.6666666666666666,0.03773584905660377,0.039473684210526314,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.5,0.3333333333333333,0.75,0.0,0.25,1.0,0.75,0.25,0.75,0.75,0.0,0.0,0.2,0.16666666666666666,1.0,0.5,0.25,0.75,,,,0.0
